# Filename: MIROC6_trend.1_1960_2014_1_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1     0.15236     0.20156    -0.63461      1.4987       2592
# Filename: MIROC6_trend.3_1960_2014_4_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1     0.18907     0.20399    -0.47006      1.1585       2592
# Filename: MIROC6_trend.3_1960_2014_5_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan    -0.45123     0.78452       2592
# Filename: MIROC6_trend.3_1960_2014_6_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan    -0.83414     0.85212       2592
# Filename: MIROC6_trend.3_1960_2014_7_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan    -0.95457      1.5476       2592
# Filename: MIROC6_trend.3_1960_2014_8_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan     -6.9823     0.85482       2592
# Filename: MIROC6_trend.3_1960_2014_9_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan    -0.99329     0.89403       2592
# Filename: MIROC6_trend.3_1960_2014_10_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan    -0.78769      1.9832       2592
# Filename: MIROC6_trend.3_1960_2014_11_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan    -0.37693      2.5591       2592
# Filename: MIROC6_trend.3_1960_2014_12_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1     0.23823     0.31091    -0.23304      1.9854       2592
# Filename: MIROC6_trend.3_1960_2014_030405_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1     0.16767     0.16727     -0.4587      1.0685       2592
# Filename: MIROC6_trend.3_1960_2014_060708_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1        -nan        -nan     -6.9823       118.8       2592
# Filename: MIROC6_trend.3_1960_2014_091011_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1        -nan        -nan    -0.60694      1.7275       2592
# Filename: MIROC6_trend.3_1960_2014_120102_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1     0.22667     0.28246    -0.19069      2.3554       2592
# Filename: MIROC6_trend.4_1960_2014_1_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1     0.17592     0.24962    -0.46623      1.7575       2592
# Filename: MIROC6_trend.4_1960_2014_2_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1     0.15832     0.25277    -0.49627      2.0221       2592
# Filename: MIROC6_trend.4_1960_2014_3_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1     0.15595     0.23565    -0.39676      1.9886       2592
# Filename: MIROC6_trend.4_1960_2014_4_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1     0.13538     0.18907    -0.58284      2.1696       2592
# Filename: MIROC6_trend.4_1960_2014_5_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan    -0.53317       0.894       2592
# Filename: MIROC6_trend.4_1960_2014_6_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan    -0.48067      1.3336       2592
# Filename: MIROC6_trend.4_1960_2014_7_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan    -0.61505      1.2747       2592
# Filename: MIROC6_trend.4_1960_2014_8_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan     -0.5567      3.0248       2592
# Filename: MIROC6_trend.4_1960_2014_9_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan    -0.59792     0.99597       2592
# Filename: MIROC6_trend.4_1960_2014_10_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan    -0.38624      1.8443       2592
# Filename: MIROC6_trend.4_1960_2014_11_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan     -1.0673       1.613       2592
# Filename: MIROC6_trend.4_1960_2014_12_mon
