# Filename: trend.1_1960_2014_1_mon
# Filename: trend.3_1960_2014_8_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.78284      2.1055       2592
# Filename: trend.3_1960_2014_9_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.56111     0.68349       2592
# Filename: trend.3_1960_2014_10_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.21521     0.94027       2592
# Filename: trend.3_1960_2014_11_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan     -1.4709      1.0287       2592
# Filename: trend.3_1960_2014_12_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1     0.20074     0.17022    -0.19529     0.74154       2592
# Filename: trend.3_1960_2014_030405_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1     0.21094     0.17428    -0.20808     0.78892       2592
# Filename: trend.3_1960_2014_060708_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1        -nan        -nan    -0.55338      14.972       2592
# Filename: trend.3_1960_2014_091011_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1        -nan        -nan     -2.2544     0.85623       2592
# Filename: trend.3_1960_2014_120102_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1     0.20908      0.1855    -0.15679     0.94515       2592
# Filename: trend.4_1960_2014_1_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1      0.1954     0.21162     -0.4593      1.1238       2592
# Filename: trend.4_1960_2014_2_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1     0.18902     0.21312    -0.20033     0.99731       2592
# Filename: trend.4_1960_2014_3_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1     0.21935     0.21032     -0.2153     0.98447       2592
# Filename: trend.4_1960_2014_4_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1     0.18741     0.22868     -0.8011     0.88668       2592
# Filename: trend.4_1960_2014_5_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.55262      1.2203       2592
# Filename: trend.4_1960_2014_6_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.42798     0.80454       2592
# Filename: trend.4_1960_2014_7_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.81335      0.6674       2592
# Filename: trend.4_1960_2014_8_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.24299      0.8958       2592
# Filename: trend.4_1960_2014_9_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.64392     0.74301       2592
# Filename: trend.4_1960_2014_10_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.38065      1.7413       2592
# Filename: trend.4_1960_2014_11_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.41229      1.0207       2592
# Filename: trend.4_1960_2014_12_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1     0.18396     0.18051    -0.20795     0.76946       2592
# Filename: trend.4_1960_2014_030405_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1     0.19199     0.19249    -0.18127     0.88051       2592
# Filename: trend.4_1960_2014_060708_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1        -nan        -nan     -1.3989      0.8958       2592
# Filename: trend.4_1960_2014_091011_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1        -nan        -nan    -0.38011     0.87438       2592
# Filename: trend.4_1960_2014_120102_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1     0.19206     0.19222    -0.18284     0.90684       2592
# Filename: trend.5_1960_2014_1_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1     0.20525     0.21656    -0.53658      1.0725       2592
# Filename: trend.5_1960_2014_2_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1     0.19032     0.21747    -0.20228     0.98516       2592
# Filename: trend.5_1960_2014_3_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1     0.22788     0.20653    -0.13316     0.93395       2592
# Filename: trend.5_1960_2014_4_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1     0.20191     0.23856     -3.0101     0.88705       2592
# Filename: trend.5_1960_2014_5_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.53914     0.87753       2592
# Filename: trend.5_1960_2014_6_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.45896      1.9838       2592
# Filename: trend.5_1960_2014_7_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan     -1.1301     0.64602       2592
# Filename: trend.5_1960_2014_8_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.25744     0.64363       2592
# Filename: trend.5_1960_2014_9_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan     -1.0107     0.65487       2592
# Filename: trend.5_1960_2014_10_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.69227      1.0688       2592
# Filename: trend.5_1960_2014_11_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.39488      3.2092       2592
# Filename: trend.5_1960_2014_12_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1     0.18589     0.16722    -0.23983     0.69614       2592
# Filename: trend.5_1960_2014_030405_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1     0.20233     0.19141    -0.16425     0.85813       2592
# Filename: trend.5_1960_2014_060708_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1        -nan        -nan     -86.295      2.2736       2592
# Filename: trend.5_1960_2014_091011_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1        -nan        -nan    -0.44058      2.3431       2592
# Filename: trend.5_1960_2014_120102_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1     0.19649     0.19176     -0.1654     0.88412       2592
# Filename: trend.6_1960_2014_1_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1     0.20978      0.2063    -0.45243      1.0935       2592
# Filename: trend.6_1960_2014_2_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1     0.18583     0.20166    -0.26581     0.97596       2592
# Filename: trend.6_1960_2014_3_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1     0.22544      0.2045    -0.17404     0.96045       2592
# Filename: trend.6_1960_2014_4_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1     0.19293     0.23347     -0.3865      1.3104       2592
# Filename: trend.6_1960_2014_5_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan     -1.3977     0.87098       2592
# Filename: trend.6_1960_2014_6_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.44782     0.77786       2592
# Filename: trend.6_1960_2014_7_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan     -1.9284     0.58805       2592
# Filename: trend.6_1960_2014_8_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.55142     0.86083       2592
# Filename: trend.6_1960_2014_9_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan     -1.7157     0.66364       2592
# Filename: trend.6_1960_2014_10_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.38645      1.1302       2592
# Filename: trend.6_1960_2014_11_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.43191      1.9484       2592
# Filename: trend.6_1960_2014_12_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1      0.1928     0.17097    -0.20411      0.7448       2592
# Filename: trend.6_1960_2014_030405_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1     0.20012     0.18927    -0.17656     0.81588       2592
# Filename: trend.6_1960_2014_060708_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1        -nan        -nan     -91.632     0.86083       2592
# Filename: trend.6_1960_2014_091011_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1        -nan        -nan    -0.35971      1.4151       2592
# Filename: trend.6_1960_2014_120102_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1      0.1994     0.18268    -0.15243     0.89605       2592
# Filename: trend.7_1960_2014_1_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1     0.20236     0.21709    -0.53594      1.1315       2592
# Filename: trend.7_1960_2014_2_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1     0.18567     0.22032    -0.23839      1.0246       2592
# Filename: trend.7_1960_2014_3_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1     0.22486     0.21461   -0.090463     0.97802       2592
# Filename: trend.7_1960_2014_4_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1     0.20051     0.23478    -0.22666     0.97219       2592
# Filename: trend.7_1960_2014_5_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan     -1.1473     0.89538       2592
# Filename: trend.7_1960_2014_6_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.55402      0.7264       2592
# Filename: trend.7_1960_2014_7_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan     -1.2644      0.6305       2592
# Filename: trend.7_1960_2014_8_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan     -0.7004       2.884       2592
# Filename: trend.7_1960_2014_9_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan     -1.3743     0.72567       2592
# Filename: trend.7_1960_2014_10_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.20845      1.0447       2592
# Filename: trend.7_1960_2014_11_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.13716      1.1287       2592
# Filename: trend.7_1960_2014_12_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1     0.18109     0.17632    -0.19548     0.74122       2592
# Filename: trend.7_1960_2014_030405_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1     0.20272     0.19992    -0.13938     0.88764       2592
# Filename: trend.7_1960_2014_060708_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1        -nan        -nan     -60.894       2.884       2592
# Filename: trend.7_1960_2014_091011_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1        -nan        -nan    -0.71843     0.91465       2592
# Filename: trend.7_1960_2014_120102_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1     0.19275       0.196    -0.14796     0.92976       2592
# Filename: trend.8_1960_2014_1_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1      0.1902     0.19365    -0.41024      1.0291       2592
# Filename: trend.8_1960_2014_2_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1     0.17915     0.20781    -0.35818     0.96748       2592
# Filename: trend.8_1960_2014_3_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1     0.21977     0.19696    -0.14734     0.93372       2592
# Filename: trend.8_1960_2014_4_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1     0.19204     0.21208    -0.28177     0.79742       2592
# Filename: trend.8_1960_2014_5_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.56894     0.86867       2592
# Filename: trend.8_1960_2014_6_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.47758      1.4197       2592
# Filename: trend.8_1960_2014_7_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.89987     0.60776       2592
# Filename: trend.8_1960_2014_8_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.42732      0.5965       2592
# Filename: trend.8_1960_2014_9_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.92546     0.57523       2592
# Filename: trend.8_1960_2014_10_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.95192      1.0278       2592
# Filename: trend.8_1960_2014_11_mon
